Structure,Operation,Data_Size,Execution_Time_ms,Rotations,Key_Comparisons,Insertion_Fixups,Deletion_Fixups,Search_Depth,Nodes_Visited,Color_Changes
AVL Tree,Insert,8192,14.879,1566,0,1066,0,0,0,0
AVL Tree,Search,100,0.078,0,801,0,0,801,801,0
AVL Tree,Remove,50,0.074,23,0,0,0,0,0,0
RedBlack Tree,Insert,8192,7.134,1438,0,1977,0,0,0,4867
RedBlack Tree,Search,100,0.085,0,886,0,0,886,886,0
RedBlack Tree,Remove,50,0.051,0,496,0,0,496,496,10
OpenHashMap,Insert,8192,2.58,0,17709,0,0,17709,17709,0
OpenHashMap,Search,100,0.021,0,137,0,0,137,137,0
OpenHashMap,Remove,50,27.853,0,149912,0,0,149912,149912,0
ExternHashMap,Insert,8192,13.18,0,13589,0,0,13589,13589,0
ExternHashMap,Search,100,0.068,0,127,0,0,127,127,0
ExternHashMap,Remove,50,0.041,0,60,0,0,60,60,0
AVL Tree,Insert,16384,31.363,2703,0,1878,0,0,0,0
AVL Tree,Search,100,0.093,0,861,0,0,861,861,0
AVL Tree,Remove,50,0.082,14,0,0,0,0,0,0
RedBlack Tree,Insert,16384,14.891,2478,0,3442,0,0,0,8467
RedBlack Tree,Search,100,0.093,0,965,0,0,965,965,0
RedBlack Tree,Remove,50,0.056,0,534,0,0,534,534,9
OpenHashMap,Insert,16384,5.15,0,35142,0,0,35142,35142,0
OpenHashMap,Search,100,0.023,0,165,0,0,165,165,0
OpenHashMap,Remove,50,38.934,0,180809,0,0,180809,180809,0
ExternHashMap,Insert,16384,26.508,0,26812,0,0,26812,26812,0
ExternHashMap,Search,100,0.07,0,134,0,0,134,134,0
ExternHashMap,Remove,50,0.045,0,71,0,0,71,71,0
AVL Tree,Insert,32768,65.706,4718,0,3249,0,0,0,0
AVL Tree,Search,100,0.097,0,905,0,0,905,905,0
AVL Tree,Remove,50,0.096,21,0,0,0,0,0,0
RedBlack Tree,Insert,32768,30.818,4289,0,5918,0,0,0,14323
RedBlack Tree,Search,100,0.106,0,1000,0,0,1000,1000,0
RedBlack Tree,Remove,50,0.07,0,555,0,0,555,555,5
OpenHashMap,Insert,32768,10.329,0,70306,0,0,70306,70306,0
OpenHashMap,Search,100,0.021,0,135,0,0,135,135,0
OpenHashMap,Remove,50,81.255,0,315411,0,0,315411,315411,0
ExternHashMap,Insert,32768,45.58,0,56152,0,0,56152,56152,0
ExternHashMap,Search,100,0.075,0,124,0,0,124,124,0
ExternHashMap,Remove,50,0.056,0,91,0,0,91,91,0
AVL Tree,Insert,65536,135.34,7096,0,4878,0,0,0,0
AVL Tree,Search,100,0.101,0,908,0,0,908,908,0
AVL Tree,Remove,50,0.136,17,0,0,0,0,0,0
RedBlack Tree,Insert,65536,63.067,6399,0,8878,0,0,0,21742
RedBlack Tree,Search,100,0.117,0,1062,0,0,1062,1062,0
RedBlack Tree,Remove,50,0.098,0,588,0,0,588,588,12
OpenHashMap,Insert,65536,17.876,0,127102,0,0,127102,127102,0
OpenHashMap,Search,100,0.025,0,191,0,0,191,191,0
OpenHashMap,Remove,50,97.399,0,613886,0,0,613886,613886,0
ExternHashMap,Insert,65536,90.486,0,106933,0,0,106933,106933,0
ExternHashMap,Search,100,0.085,0,124,0,0,124,124,0
ExternHashMap,Remove,50,0.057,0,72,0,0,72,72,0
AVL Tree,Insert,131072,274.528,9571,0,6564,0,0,0,0
AVL Tree,Search,100,0.131,0,940,0,0,940,940,0
AVL Tree,Remove,50,0.181,16,0,0,0,0,0,0
RedBlack Tree,Insert,131072,123.641,8504,0,11920,0,0,0,29432
RedBlack Tree,Search,100,0.137,0,1000,0,0,1000,1000,0
RedBlack Tree,Remove,50,0.116,0,635,0,0,635,635,5
OpenHashMap,Insert,131072,33.789,0,227413,0,0,227413,227413,0
OpenHashMap,Search,100,0.024,0,130,0,0,130,130,0
OpenHashMap,Remove,50,178.597,0,698578,0,0,698578,698578,0
ExternHashMap,Insert,131072,164.897,0,219106,0,0,219106,219106,0
ExternHashMap,Search,100,0.085,0,130,0,0,130,130,0
ExternHashMap,Remove,50,0.06,0,80,0,0,80,80,0
AVL Tree,Insert,262144,570.597,13798,0,9425,0,0,0,0
AVL Tree,Search,100,0.16,0,924,0,0,924,924,0
AVL Tree,Remove,50,0.198,32,0,0,0,0,0,0
RedBlack Tree,Insert,262144,245.704,12002,0,16987,0,0,0,42625
RedBlack Tree,Search,100,0.17,0,1074,0,0,1074,1074,0
RedBlack Tree,Remove,50,0.122,0,579,0,0,579,579,11
OpenHashMap,Insert,262144,61.226,0,425958,0,0,425958,425958,0
OpenHashMap,Search,100,0.029,0,129,0,0,129,129,0
OpenHashMap,Remove,50,244.627,0,1480919,0,0,1480919,1480919,0
ExternHashMap,Insert,262144,329.655,0,431846,0,0,431846,431846,0
ExternHashMap,Search,100,0.092,0,128,0,0,128,128,0
ExternHashMap,Remove,50,0.059,0,72,0,0,72,72,0
AVL Tree,Insert,524288,1180.73,23868,0,16326,0,0,0,0
AVL Tree,Search,100,0.152,0,987,0,0,987,987,0
AVL Tree,Remove,50,0.184,20,0,0,0,0,0,0
RedBlack Tree,Insert,524288,507.379,20807,0,29502,0,0,0,73809
RedBlack Tree,Search,100,0.185,0,1134,0,0,1134,1134,0
RedBlack Tree,Remove,50,0.146,0,629,0,0,629,629,8
OpenHashMap,Insert,524288,120.758,0,833174,0,0,833174,833174,0
OpenHashMap,Search,100,0.031,0,146,0,0,146,146,0
OpenHashMap,Remove,50,448.085,0,2245400,0,0,2245400,2245400,0
ExternHashMap,Insert,524288,684.122,0,879454,0,0,879454,879454,0
ExternHashMap,Search,100,0.106,0,127,0,0,127,127,0
ExternHashMap,Remove,50,0.068,0,77,0,0,77,77,0
AVL Tree,Insert,859264,2006.69,30932,0,21088,0,0,0,0
AVL Tree,Search,100,0.166,0,1030,0,0,1030,1030,0
AVL Tree,Remove,50,0.209,17,0,0,0,0,0,0
RedBlack Tree,Insert,859264,868.28,26713,0,37972,0,0,0,95680
RedBlack Tree,Search,100,0.2,0,1150,0,0,1150,1150,0
RedBlack Tree,Remove,50,0.156,0,674,0,0,674,674,12
OpenHashMap,Insert,859264,208.074,0,1423104,0,0,1423104,1423104,0
OpenHashMap,Search,100,0.034,0,152,0,0,152,152,0
OpenHashMap,Remove,50,601.34,0,2038397,0,0,2038397,2038397,0
ExternHashMap,Insert,859264,1082.99,0,1479890,0,0,1479890,1479890,0
ExternHashMap,Search,100,0.104,0,140,0,0,140,140,0
ExternHashMap,Remove,50,0.067,0,73,0,0,73,73,0
